Survey Collection ID,System,School,Survey Type,Delivery Method,Date,Primary Facilitator,Secondary Facilitator,Tertiary Facilitator,Quaternary Facilitator,Submitter Role,Clear about change we seek,Clear about roles and responsibilities,Confident plan will achieve goals,Feel more equipped,Equipped and supported,Understand state of instruction,Valuable use of my time:,Clarity direction of work ahead,I learned something:,Likely to recommend Instruction Partners
a152E00000EqeGwQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Strongly Agree,9
a152E00000EqeGrQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Agree,5
a152E00000EqeGwQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Disagree,,Disagree,5
a152E00000EqeGwQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Somewhat Agree,6
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeGrQAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 1,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,8
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,9
a152E00000EqeGsQAJ,District/Network 15,School 23,Professional Development,Virtual,7/27/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqeH1QAJ,District/Network 15,School 23,Professional Development,,7/27/2021,Facilitator 6,,,,Teacher Leader,,,,,,,Strongly Agree,,Agree,7
a152E00000Eqdm4QAB,District/Network 43,School 126,Professional Development,Virtual,7/27/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqduDQAR,District/Network 43,School 126,Professional Development,Virtual,7/27/2021,Facilitator 50,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqdm4QAB,District/Network 43,School 126,Professional Development,Virtual,7/27/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,8
a152E00000Eqdm4QAB,District/Network 43,School 126,Professional Development,Virtual,7/27/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Strongly Agree,9
a152E00000Eqdm4QAB,District/Network 43,School 126,Professional Development,Virtual,7/27/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Agree,8
a152E00000EqduDQAR,District/Network 43,School 126,Professional Development,Virtual,7/27/2021,Facilitator 50,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,9
a152E00000Eqdm4QAB,District/Network 43,School 126,Professional Development,Virtual,7/27/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Agree,3
a152E00000Eqgo8QAB,District/Network 15,School 23,Professional Development,Virtual,7/28/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqgoDQAR,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Agree,7
a152E00000Eqgo8QAB,District/Network 15,School 23,Professional Development,Virtual,7/28/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqgo3QAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqgo3QAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqgo3QAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,8
a152E00000Eqgo3QAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqgo8QAB,District/Network 15,School 23,Professional Development,Virtual,7/28/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Agree,,Agree,5
a152E00000Eqgo8QAB,District/Network 15,School 23,Professional Development,Virtual,7/28/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Agree,,Agree,8
a152E00000Eqgo8QAB,District/Network 15,School 23,Professional Development,Virtual,7/28/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,8
a152E00000Eqgo8QAB,District/Network 15,School 23,Professional Development,Virtual,7/28/2021,Facilitator 22,Facilitator 12,,,Teacher Leader,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqgnyQAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 1,,,,Teacher,,,,,,,Somewhat Agree,,Somewhat Agree,6
a152E00000EqgoDQAR,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Agree,8
a152E00000Eqgo3QAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqgoDQAR,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 1,,,,Teacher,,,,,,,Disagree,,Somewhat Disagree,3
a152E00000Eqgo3QAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqgoDQAR,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 1,,,,Teacher,,,,,,,Agree,,Agree,6
a152E00000Eqgo8QAB,District/Network 15,School 23,Professional Development,Virtual,7/28/2021,Facilitator 22,Facilitator 12,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,8
a152E00000EqgnyQAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 1,,,,Teacher,,,,,,,Somewhat Agree,,Somewhat Agree,5
a152E00000Eqgo3QAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 6,,,,Teacher Leader,,,,,,,Strongly Agree,,Strongly Agree,7
a152E00000Eqgo3QAB,District/Network 15,School 23,Professional Development,,7/28/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqdm5QAB,District/Network 43,School 126,Professional Development,Virtual,7/28/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Agree,8
a152E00000Eqdm5QAB,District/Network 43,School 126,Professional Development,Virtual,7/28/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,9
a152E00000Eqdm5QAB,District/Network 43,School 126,Professional Development,Virtual,7/28/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqdm5QAB,District/Network 43,School 126,Professional Development,Virtual,7/28/2021,Facilitator 41,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eqdm5QAB,District/Network 43,School 126,Professional Development,Virtual,7/28/2021,Facilitator 41,,,,Instructional Coach,,,,,,,Somewhat Disagree,,Neutral,3
a152E00000Eqdm5QAB,District/Network 43,School 126,Professional Development,Virtual,7/28/2021,Facilitator 41,,,,Teacher,,,,,,,Agree,,Agree,7
a152E00000EqetrQAB,District/Network 73,,Professional Development,Virtual,7/28/2021,Facilitator 62,Facilitator 72,Facilitator 61,,Other,,,,,,,Agree,,Agree,9
a152E00000EqetrQAB,District/Network 73,,Professional Development,Virtual,7/28/2021,Facilitator 62,Facilitator 72,Facilitator 61,,Other,,,,,,,Agree,,Agree,9
